Name|Last Release|Code type|Keywords [Max 3]|Field|License|Programming Language|Institution(s)|Website|Related publications|Source code |Contacts|Description|Short description (≤300 chars, summarized)|Concept DOI (from zenodo)|Other DOIs|Software Logo (yes/no)|Image url
med-imagetools|2025 (latest published version)|Library/Toolkit|Imaging and Image Processing|Multiple purpose|MIT|Python (83.8%), Jupyter Notebook (16.1%), Dockerfile (0.1%)|Not explicitly stated, but authors from Princess Margaret Cancer Centre, University Health Network, IIT Madras, University of Toronto.|bhklab.github.io/med-imagetools|"Med-ImageTools: An open-source Python package for robust data processing pipelines and curating medical imaging data" (2023/2025).|https://github.com/bhklab/med-imagetools|Sejin Kim, Michal Kazmierski, Kevin Qu, Jacob Peoples, Minoru Nakano, Vishwesh Ramanathan, Joseph Marsilla, Mattea Welch, Amber Simpson, Benjamin Haibe-Kains (benjamin.haibe.kains@utoronto.ca).|https://raw.githubusercontent.com/bhklab/med-imagetools/refs/heads/main/README.md|Aims to provide transparent and reproducible medical image processing pipelines in Python. Focuses on subject-based machine learning and processing DICOMs into deep learning-ready format.|NA|Not explicitly stated for the software itself, but a DOI Status badge is present. Related publication DOI: 10.12688/f1000research.127142.3. Zenodo records for related projects exist, e.g., 10.5281/zenodo.16617216.|No|
mri_distortion_toolkit|Feb 21, 2024 (latest release) |Library/Toolkit|Imaging and Image Processing|Multiple purpose|GPL-3.0|Python (89.5%), R (7.2%), Jupyter Notebook (2.8%) / HTML (94.3%) Python (3.0%) CSS (2.3%) Other (0.4%)|The Image X Institute, University of Sydney|https://github.com/Image-X-Institute/mri_distortion_toolkit|Not explicitly stated|https://github.com/Image-X-Institute/mri_distortion_toolkit|Not explicitly stated|https://raw.githubusercontent.com/Image-X-Institute/mri_distortion_toolkit/refs/heads/main/README.md|A toolkit to correct geometric distortion in MR images. Includes tools for converting DICOM to NIfTI, and generating distortion correction maps.|NA|Not explicitly stated|No|https://avatars.githubusercontent.com/u/77604301?s=200&v=4
mudicom|2024|Library/Toolkit|Imaging and Image Processing|Multiple purpose|MIT|Python (100.0%)|Not explicitly stated|Not explicitly stated|Not explicitly stated|https://github.com/neurosnap/mudicom|Not explicitly stated|http://raw.githubusercontent.com/neurosnap/mudicom/refs/heads/master/README.rst|A Python library for interacting with DICOM files. Provides a simpler, more intuitive interface than other libraries.|NA|Not explicitly stated|No|
ParticlePhaseSpace|2018 (first commit) - 2023 first release|Library/Toolkit|Treatment Planning and dosimetry|Multiple purpose|GPL-3.0|Python (99.1%) Other (0.9%)|University of Sydney, Royal Prince Alfred Hospital, Australian Cancer Research Foundation|Not explicitly stated|Not explicitly stated|https://github.com/bwheelz36/ParticlePhaseSpace|Not explicitly stated|https://raw.githubusercontent.com/bwheelz36/ParticlePhaseSpace/refs/heads/main/README.md|A set of tools for processing and analysing particle phase space files. Designed for use with Monte Carlo simulations, particularly for proton therapy.|NA|Not explicitly stated|No|
pyESAPI|July 20 2024|Script/Plugin|Software Engineering and Data Infrastructure|Photons|MIT|Python (100.0%)|Varian Medical Systems|https://pyesapi.readthedocs.io/en/latest/|Not explicitly stated|https://github.com/VarianAPIs/PyESAPI|Not explicitly stated|https://raw.githubusercontent.com/VarianAPIs/PyESAPI/refs/heads/master/README.md|A Python wrapper for the Varian Eclipse Scripting API (ESAPI). Allows scripting of Eclipse functions using Python.|NA|Not explicitly stated|No|
pymcc|May 14 2024|Library/Toolkit|Treatment Planning and dosimetry|Photons|MIT|Python (100.0%)|Not explicitly stated|Not explicitly stated|Not explicitly stated|https://github.com/tbezo/pymcc|Not explicitly stated|https://raw.githubusercontent.com/tbezo/pymcc/refs/heads/main/README.md|Module that reads PTW mephisto mcc files from watertank scans or array files. pymcc relies on Pandas and uses a Pandas DataFrame to store the measurement values within the class objects.|NA|Not explicitly stated|No|
pynetdicom|02 Aug 2024|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|MIT|Python (99.8%), Shell (0.2%)|Not explicitly stated (hosted under pydicom organization)|https://pydicom.github.io/pynetdicom/|Not explicitly stated|https://github.com/pydicom/pynetdicom|Not explicitly stated|https://raw.githubusercontent.com/pydicom/pynetdicom/refs/heads/main/README.rst|A Python library for DICOM network communication. Implements the DICOM network protocol to allow sending and receiving DICOM files.|NA|Not explicitly stated|Yes|https://pydicom.github.io/pynetdicom/stable/_static/pydicom_flat_black.svg
RTToolbox|May 23 2019|Library/Toolkit|Treatment Planning and dosimetry|Multiple purpose|BSD-3-Clause|C++ (91.8%), CMake (7.8), C(0.4%)|German Cancer Research Center (DKFZ)|https://www.dkfz-heidelberg.de/en/mic/research/SIDT/sidt_projects.html |Not explicitly stated|https://github.com/MIC-DKFZ/RTTB|rttb@dkfz.de|https://raw.githubusercontent.com/MIC-DKFZ/RTTB/refs/heads/master/README.md|RTToolbox is a software library to support quantitative analysis of treatment outcome for radiotherapy.|NA|Not explicitly stated|No|
TOPASopt|Jan 2 2025|Script/Plugin|Treatment Planning and dosimetry|Multiple purpose|MIT|Python (91,3%), PLSQL (7.5%), Other (1.2%)|The Image X Institute, University of Sydney|Not explicitly stated|https://doi.org/10.1002/mp.16126|https://github.com/Image-X-Institute/TopasOpt|Not explicitly stated|https://raw.githubusercontent.com/Image-X-Institute/TopasOpt/refs/heads/master/README.md|A toolkit for performing optimization with the TOPAS Monte Carlo simulation package. Includes tools for running simulations and analyzing results.|NA|Not explicitly stated|Yes|https://avatars.githubusercontent.com/u/77604301?s=200&v=4
TrajectoryLog.NET|Not stated|Library/Toolkit|Treatment Planning and dosimetry|Photons|Not cleary specified|C# (100.0%)|Washington University in St. Louis - Clinical Development|Not explicitly stated|Not explicitly stated|https://github.com/WUSTL-ClinicalDev/TrajectoryLog.NET|matthew.schmidt@wustl.edu.|https://raw.githubusercontent.com/WUSTL-ClinicalDev/TrajectoryLog.NET/refs/heads/master/README.md|A Clibrary for reading and parsing Varian Eclipse trajectory log files. Provides a clear and simple API for accessing log data.|NA|Not explicitly stated|No|
Bistromath|May 29 2024|Application|Treatment Planning and dosimetry|Photons|not standard|Not explitely stated|Not explicitly stated|https://bistromath.kegge13.nl/|Not explicitly stated|Not explicitly stated|bistromath@kegge13.nl|BistroMath is designed as add-on to the measuring software of water phantom systems used in radiotherapy.\nThe program hooks up to the chain of clipboard viewers and thus analyses all information which is placed on the clipboard. Alternatively, files from disk can be opened. When a measurement is copied from the water phantom system, the data will be found as valid profile data by BistroMath. For a inline/crossline scan always the correct 50% (or edge) positions are detected, including profiles fully outside the main axis when analysis with currently available software is impossible or wrong.\nAny profile may be stored as reference. When available and if configured, the measurement will be divided by the reference profile. Inline/crossline reference profiles are resampled to the measurement grid and aligned with the measurement. Thus differences with respect to a reference curve can be studied in great detail. Comparison can be improved by correcting symmetry errors in the reference. This behavior is fully configurable.\nBistroMath can read profiles from PTW (including MCC), Sun Nuclear and IBA systems (including RFA300 and the binary RFB-format). Also, Schuster BMS-profiles, PIPS-profiles and the Scanditronix file types .wtx and .wda can be read in this version. For selected 2D-arrays (at this moment only the Starcheck-Maxi) a multi-profile reference can be used.\nThere is also an extensive selftest which can be used as a demo. The program proves to work fine on Windows XP and Windows 7/64.|BistroMath is designed as add-on to the measuring software of water phantom systems used in radiotherapy.|NA|No|No|
ctqa|Mar 16 2020|Library/Toolkit|Quality Assurance|Multiple purpose|MIT|Python (99.9%), Batchfile (0.1%)|Not explicitly stated (Brikwerk)|Not explicitly stated|Not explicitly stated|https://github.com/Brikwerk/ctqa|mail@reecewal.sh|https://raw.githubusercontent.com/Brikwerk/ctqa/refs/heads/master/README.md|A Python-based toolkit for CT Quality Assurance (QA). Provides tools for performing common QA tests and generating reports.|NA|Not explicitly stated|No|
DicomCleaner|Not specified|Application|Software Engineering and Data Infrastructure|Multiple purpose|Open source, not specified|Java|David A. Clunie|http://www.dclunie.com/pixelmed/software/webstart/DicomCleanerUsage.html|Not explicitly stated|No|dclunie@dclunie.com|DicomCleaner™ is a free open source tool with a user interface for importing, "cleaning" and saving sets of DICOM instances (files). It can:\n\n- Import files from a CD or the local hard drive or a shared network drive or any other media, with or without a DICOMDIR\n- Query and retrieve from remote DICOM devices\n- "Clean" the DICOM "header" of a selected set of instances\n- Blackout burned in annotations in the pixel data of the cleaned files\n- Export the cleaned instances to a folder with a DICOMDIR, which can be burned to a CD or DVD\n- Send the cleaned instances over the network to a remote DICOM device|A Java application for cleaning and anonymizing DICOM files. Provided as a webstart application.|NA|Not explicitly stated|Yes|http://www.dclunie.com/pixelmed/software/webstart/icons/DicomCleaner.png
DicomClient|May 18 2023|Application|Software Engineering and Data Infrastructure|Multiple purpose|Apache-2.0|Java (98.4%), HTML (1.4%), Other (0.2%)|umich.edu|Not explicitly stated|Not explicitly stated|https://github.com/irrer/DICOMClient|irrer@umich.edu|https://raw.githubusercontent.com/irrer/DICOMClient/refs/heads/master/README.md|A DICOM client application for sending and receiving DICOM files over a network. Designed for simple and easy DICOM communication.|NA|Not explicitly stated|Yes|https://github.com/irrer/DICOMClient/raw/master/docs/images/DICOM%2B128x128.png
dicomutils|not stated|Application|Software Engineering and Data Infrastructure|Multiple purpose|Not stated|Python (98.8%), Other (1.2%)|RaySearch Laboratories|https://github.com/raysearchlabs/dicomutils|Not explicitly stated|https://github.com/raysearchlabs/dicomutils|Not explicitly stated|https://raw.githubusercontent.com/RaySearchLabsPublic/dicomutils/refs/heads/master/README.md|A Python library providing various utilities for working with DICOM files. Aims to simplify common DICOM tasks.|NA|Not explicitly stated|No|
EasyPACS|not specified|Application|Software Engineering and Data Infrastructure|Multiple purpose|Not specified|JavaScript (46.6%), CSS (28.7%), Java (17.4%), HTML (7,3%)|Not explicitly stated|http://mehmetsen80.github.io/EasyPACS/|Not explicitly stated|https://github.com/mehmetsen80/EasyPACS|Not explicitly stated|https://raw.githubusercontent.com/mehmetsen80/EasyPACS/refs/heads/master/README.md|EasyPACS is the simpliest PACS server for your dicom files. It uses DCM4CHEE listener and converts dicom files into jpegs.|NA|Not explicitly stated|No|
Fabolous-v16|Jun 9 2025|Application|Software Engineering and Data Infrastructure|Photons|Not explicitly stated|C# (100.0%)|Not explicitly stated|Not explicitly stated|Not explicitly stated|https://github.com/nsmela/Fabolus|Not explicitly stated|https://raw.githubusercontent.com/nsmela/Fabolus/refs/heads/master/README.md|Fabolus is a Windows-based app designed to assist radiation therapy prepare bolus meshes for 3D printing|NA|Not explicitly stated|No|
LinacQA|Aug 2025 last update on GitHub|Application|Quality Assurance|Photons|LinaQA copyright 2024-2025 AC Chamberlain. All rights reserved.|Python (100.0%)|Not explicitly stated (copyright by A C Chamberlain)|https://github.com/alanphys/LinaQA|Not explicitly stated|https://github.com/alanphys/LinaQA|Not explicitly stated|https://raw.githubusercontent.com/alanphys/LinaQA/refs/heads/master/readme.txt|LinaQA (pronounced Linakwa) is a GUI frontend for pylinac and pydicom.|NA|Not explicitly stated|No|
MAAS-PlanScoreCard|Jun 19 2025|Script/Plugin|Treatment Planning and dosimetry|Photons|VARIAN LIMITED USE SOFTWARE LICENSE AGREEMENT|C# (100.0%)|Varian Medical Affairs Applied Solutions (MAAS)|https://github.com/Varian-MedicalAffairsAppliedSolutions/MAAS-PlanScoreCard|Not explicitly stated|https://github.com/Varian-MedicalAffairsAppliedSolutions/MAAS-PlanScoreCard|Not explicitly stated|https://raw.githubusercontent.com/Varian-MedicalAffairsAppliedSolutions/MAAS-PlanScoreCard/refs/heads/main/README.md|A Varian Eclipse scripting plugin to generate a 'scorecard' for treatment plan quality. Assesses plan quality based on pre-defined metrics.|NA|Not explicitly stated|No|
MUSIMAN|Jun 22 2017|Script/Plugin|Treatment Planning and dosimetry|Multiple purpose|Not explicitly stated|Matlab (100%)|Not explicitly stated|Not explicitly stated|A. Badal and J. Sempau. A package of Linux scripts for the parallelization of Monte Carlo simulations. Comput. Phys. Commun., 175(6):440–450, 2006.|https://github.com/marcelinohermida/MUSIMAN|Not explicitly stated|https://raw.githubusercontent.com/marcelinohermida/MUSIMAN/refs/heads/master/README.md|In summary, the MUSIMAN package is a software tool to ease the parallelization of simulations run with the Monte Carlo code PENELOPE 2014|NA|Not explicitly stated|No|
OMG Dosimetry|Dec 27 2023|Library/Toolkit|Quality Assurance|Multiple purpose|MIT|Python (99.8%), Batchfile (0.2%)|Not explicitly stated|https://omg-dosimetry.readthedocs.io/en/latest/|Not explicitly stated|https://github.com/jfcabana/omg_dosimetry|Not explicitly stated|https://raw.githubusercontent.com/jfcabana/omg_dosimetry/refs/heads/OMG_master/README.rst|A Python package for performing dosimetry calculations and quality assurance tests. Provides a simple API for common dosimetry tasks.|NA|Not explicitly stated|Yes|https://raw.githubusercontent.com/jfcabana/omg_dosimetry/OMG_master/src/omg_dosimetry/OMG_Logo.png
PDFtoAria|Last update 3 years ago|Script/Plugin|Software Engineering and Data Infrastructure|Photons|MIT|C# (100.0 %)|Not explicitly stated (LDClark)|Not explicitly stated|Not explicitly stated|https://github.com/LDClark/PDFtoAria|Not explicitly stated|https://raw.githubusercontent.com/LDClark/PDFtoAria/refs/heads/main/README.md|A Cscript for converting PDF documents into a format that can be imported into Varian ARIA. Automates the process of adding documents to ARIA.|NA|Not explicitly stated|No|
PlanCheck|Oct 15 2020|Script/Plugin|Quality Assurance|Photons|MIT|C# (100.0 %)|Not explicitly stated (LDClark)|Not explicitly stated|Not explicitly stated|https://github.com/LDClark/PlanCheck|Not explicitly stated|https://raw.githubusercontent.com/LDClark/PlanCheck/refs/heads/master/README.md|A Varian Eclipse scripting plugin for treatment plan verification. Automates the process of checking a plan against a set of rules.|NA|Not explicitly stated|No|
PyBeam-QA|Last tag Jun 9 2024|Application|Quality Assurance|Photons|GPL-3.0|Python (99.9%), Other (0.1%)|Not explicitly stated (Quantico-Bullet)|Not explicitly stated|Not explicitly stated|https://github.com/Quantico-Bullet/PyBeam-QA|Not explicitly stated|https://raw.githubusercontent.com/Quantico-Bullet/PyBeam-QA/refs/heads/main/README.md|A Python library for performing beam quality assurance tests in radiotherapy. The software is in an early stage of development.|NA|Not explicitly stated|Yes|https://raw.githubusercontent.com/Quantico-Bullet/PyBeam-QA/main/ui/qt_ui/icons/ic_app_alt.svg
pyQAserver|Nov 3 2020|Application|Quality Assurance|Photons|MIT|Python (56.3%), Smarty (36%), JavaScript (7.6%), Other (0.1%)|Not explicitly stated|https://pyqaserver.readthedocs.io/en/latest/|Not explicitly stated|https://github.com/brjdenis/pyqaserver|Not explicitly stated|https://raw.githubusercontent.com/brjdenis/pyqaserver/refs/heads/master/README.md|A Python-based server for performing Quality Assurance tests. Provides a web interface for managing and running tests.|NA|Not explicitly stated|No|
QALMA|Last commit 4 years ago|Application|Quality Assurance|Photons|GPL-3.0|Matlab (100%)|Not explicitly stated (mrmushfiq)|https://github.com/mrmushfiq/qalma|https://doi.org/10.1016/j.softx.2018.03.003|https://github.com/mrmushfiq/qalma|Not explicitly stated|https://raw.githubusercontent.com/mrmushfiq/qalma/refs/heads/master/README.md|A Matlab based toolkit with GUI for quantitative analysis of Quality Assurance tests for Medical Linear Accelerators in Radiation Therapy.|NA|Not explicitly stated|No|
QATrack+|Aug 2025|Application|Quality Assurance|Photons|MIT|JavaScript (42.1%), Python (40.7%), HTML (10.1%), CSS (6.9%), Shell (0.1%), SCSS (0.1%)|Not explicitly stated|https://qatrackplus.com/|Not explicitly stated|https://github.com/qatrackplus/qatrackplus|randy@randlet.com|https://raw.githubusercontent.com/qatrackplus/qatrackplus/refs/heads/master/README.md|QATrack+ is a fully configurable, free, and open source (MIT License) web application for managing QA data for radiation therapy and medical imaging equipment|NA|Not explicitly stated|No|
Sentinel|Mar 21 2025|Application|Quality Assurance|Photons|Apache-2.0|HTML (100.0%)|IsoAnalytica, LLC|Not explicitly stated|Not explicitly stated|https://github.com/IsoAnalytica/Sentinel-Public|info@efilmqa.com|https://raw.githubusercontent.com/IsoAnalytica/Sentinel-Public/refs/heads/main/README.md|Sentinel is an automated log-file analysis application for Varian linacs (TrueBeam, Halcyon, Edge).|NA|Not explicitly stated|No|
SIRF|Jul 25 2024|Application|Imaging and Image Processing|Multiple purpose|Apache-2.0|C++ (59.5%), Python (19.3%), Matlab (14.4%), CMake (4.4%), C (1.5%), Shell (0.9%)|SyneRBI, University College London|https://www.ccpsynerbi.ac.uk/|Not explicitly stated|https://github.com/SyneRBI/SIRF|tomography@stfc.ac.uk|https://raw.githubusercontent.com/SyneRBI/SIRF/refs/heads/master/README.md|This software is the main output of SyneRBI, the Collaborative Computational Platform for Synergistic Reconstruction for Biomedical Imaging (formerly CCP PETMR).|NA|Not explicitly stated|No|
STIR|Jun 23 2024|Application|Imaging and Image Processing|Multiple purpose|Apache-2.0|C++ (63.5%), Verilog (30.1%), C(2.0%), Shell (1.5%), CMake (0.9%), Python (0.9%), Other (1.1%)|Not explicitly stated (hosted under UCL organization)|http://stir.sourceforge.net/|Not explicitly stated|https://github.com/UCL/STIR|stir@asc.uk.com|https://raw.githubusercontent.com/UCL/STIR/refs/heads/master/README.md|A software package for tomographic image reconstruction. Primarily used for PET and SPECT.|NA|Not explicitly stated|Yes|https://stir.sourceforge.net/images/stir_logo_lr.jpg
VarianESAPI-EQD2Converter|Jan 1 2022|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT|C# (100%)|Not explicitly stated (brjdenis)|Not explicitly stated|Not explicitly stated|https://github.com/brjdenis/VarianESAPI-EQD2Converter|Not explicitly stated|https://raw.githubusercontent.com/brjdenis/VarianESAPI-EQD2Converter/refs/heads/master/README.md|A Varian Eclipse scripting plugin for converting dose to EQD2 (equivalent dose in 2 Gy fractions). Automates the calculation of EQD2 for plans.|NA|Not explicitly stated|No|
VarianESAPI-FieldEditor|Jan 28 2022|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT|C# (100%)|Not explicitly stated (brjdenis)|Not explicitly stated|Not explicitly stated|https://github.com/brjdenis/VarianESAPI-FieldEditor|Not explicitly stated|https://raw.githubusercontent.com/brjdenis/VarianESAPI-FieldEditor/refs/heads/master/README.md|A Varian Eclipse scripting plugin for editing treatment fields. Provides a graphical interface for modifying field shapes and parameters.|NA|Not explicitly stated|No|
VarianESAPI-HalcyonGantryAngle|Nov 12 2021|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT|C# (100%)|Not explicitly stated (brjdenis)|Not explicitly stated|Not explicitly stated|https://github.com/brjdenis/VarianESAPI-HalcyonGantryAngle|Not explicitly stated|https://raw.githubusercontent.com/brjdenis/VarianESAPI-HalcyonGantryAngle/refs/heads/master/README.md|A Varian Eclipse scripting plugin for Halcyon gantry angle calculation. Automates the calculation of gantry angles for Halcyon plans.|NA|Not explicitly stated|No|
dicom4che|Jun 24 2025|Library/Toolkit|Software Engineering and Data Infrastructure|Multiple purpose|	MPL-2.0|Java (74.7%), Smarty (16.9%), XSLT (4.6%), Shell (2.1%), Batchfile (1.7%), sed (0.0%)|Not explicitly stated|https://www.dcm4che.org/|Not explicitly stated|https://github.com/dcm4che/dcm4che|Not explicitly stated|https://raw.githubusercontent.com/dcm4che/dcm4che/refs/heads/master/README.md|dcm4che is a Java-based library and set of tools for working with DICOM files. It provides functionalities for reading, writing, and manipulating DICOM data, making it a valuable resource for developers and researchers working with medical imaging.|NA|Not explicitly stated|No|
PlanUNC|2016 (latest release)|Application|Software Engineering and Data Infrastructure|Photons|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|PLanUNC (PLUNC) is a portable, adaptable, and extensible set of software tools for radiotherapy treatment planning (RTP) that has been under active development in the Department of Radiation Oncology at the University of North Carolina (UNC) for approximately 20 years. In 1992, development work branched into separate paths at UNC (PLanUNC) and Sherouse Systems, Inc. (GRATISTM). The current UNC tools encompass the full range of RTP functions including image importing and processing, virtual simulation, dose calculation, plan evaluation, and planning for intensity modulated radiotherapy. PLanUNC source code and related software are licensed without fee to qualified facilities to support research involving new methods for planning and delivering radiation therapy, and to support RTP training for dosimetrists, physicists, radiation therapists, and radiation oncology residents. Research milestones of the development and application of PLanUNC can be found on the PlanUNC History Page.|A program for performing dosimetry calculations in radiotherapy. The program is proprietary and not open source.|NA|Not explicitly stated|No|
UCoMX|Jun 16 2025|Application|Treatment Planning and dosimetry|Photons|Not explicitly stated|Matlab (100%)|Veneto Institute of Oncology IOV-IRCCS|https://zenodo.org/records/15673571|https://doi.org/10.1002/mp.17365|Not explicitly stated|ucomx@iov.veneto.it|UCoMX (Universal Complexity Metrics Extractor) is a novel software package designed to extract complexity metrics from DICOM-RT plan files of radiotherapy treatment plans. The tool is platform-agnostic, engineered to seamlessly operate with DICOM-RT plan files created using diverse commercially available TPSs across various treatment units. UCoMX is freely available and complemented by a dataset that can be used as reference for future comparisons, and a detailed User's Manual.\n\nPlease, refer to the related Technical Note on Medical Physics for further details. |UCoMX (Universal Complexity Metrics Extractor) is a novel software package designed to extract complexity metrics from DICOM-RT plan files of radiotherapy treatment plans. The tool is platform-agnostic, engineered to seamlessly operate with DICOM-RT plan files created using diverse commercially…|https://doi.org/10.5281/zenodo.15673571|https://doi.org/10.5281/zenodo.15673571|Yes|
MatRad|2015|Application|Treatment Planning and dosimetry|Multiple purpose|	GPL-3.0-only|Matlab|Division of Medical Physics in Radiation Oncology at the German Cancer Research Center DKFZ|http://www.matrad.org|https://doi.org/10.1002/mp.12251|https://github.com/e0404/matRad|contact@matrad.org|https://raw.githubusercontent.com/e0404/matRad/refs/heads/master/README.md|Matrad is an open source software for radiation treatment planning of intensity-modulated photon, proton, and carbon ion therapy.|NA||Yes|https://e0404.github.io/matRad/assets/img/logo.png
MIROpt|2016|Script/Plugin|Treatment Planning and dosimetry|Protons/Ions|Apache 2.0|Matlab|MIRO (UCLouvain), IBA|none||https://openreggui.org/git/open/REGGUI|ana.barragan@uclouvain.be|MIROpt is a Matlab-based software package serving to robustly optimize a treatment plan. To compute the dose, it relies on the MCsquare dose engine. Nonetheless, it allows compatibility with other dose engines. For optimization it uses the C++ Ipopt function optimization libraries.|OpenTPS is an open-source treatment planning system (TPS) for research in radiation therapy and proton therapy. It was developed in Python with a special focus on simplifying contribution to the core functions to let the user develop their own features.|NA||No|
OpenTPS|2021|Application|Treatment Planning and dosimetry|Multiple purpose|Apache 2.0|Python|MIRO and Pilab labs (UCLouvain), IBA|https://opentps.org|https://arxiv.org/abs/2303.00365|https://gitlab.com/openmcsquare/opentps|info@opentps.org|https://gitlab.com/openmcsquare/opentps/-/raw/master/README.md?ref_type=heads|OpenTPS is an open-source treatment planning system (TPS) for research in radiation therapy and proton therapy.|NA||Yes|https://www.opentps.org/assets/img/OpenTPS_banner.png
OpenREGGUI|2011|Application|Treatment Planning and dosimetry|Protons/Ions|Apache 2.0|Matlab|UCLouvain, IBA|https://openreggui.org/||https://openreggui.org/git/open/REGGUI|open.reggui@gmail.com||Image processing, open-source platform for research in proton therapy|NA||No|https://openpath.software/images/logo-OpenReggui.png
FoCa|2014|Application|Treatment Planning and dosimetry|Protons/Ions|Not stated|Matlab|University of Pennsylvania, Department of Radiation Oncology|http://nuclear.fis.ucm.es/foca/#:~:text=FoCa%20is%20an%20in%2Dhouse,suite%20for%20inverse%20treatment%20planning.|https://doi.org/10.1088/0031-9155/59/23/7341|none|dsparcerisa@ucm.es|FoCa is an in-house modular treatment planning system, developed entirely in MATLAB, which includes forward dose and LET calculation of proton radiotherapy plans in both active and passive modalities as well as a generic optimization suite for inverse treatment planning. The software has a dual education and research purpose. From the educational point of view, it can be an invaluable teaching tool for educating medical physicists, showing the insights of a treatment planning system from a well-known and widely accessible software platform. From the research point of view, its current and potential uses range from the fast calculation of any physical, radiobiological or clinical quantity in a patient CT geometry, to the development of new treatment modalities not yet available in commercial treatment planning systems.|FoCa is an in-house modular treatment planning system, developed entirely in MATLAB, which includes forward dose calculation of proton radiotherapy plans in both active and passive modalities as well as a generic optimization suite for inverse treatment planning.|NA||Yes|http://nuclear.fis.ucm.es/foca/LOGO.png
pyanno4RT|2023|Library/Toolkit|Treatment Planning and dosimetry|Multiple purpose|GPL-3.0|Python|Karlsruhe Institute of Technology|https://pyanno4rt.readthedocs.io/|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10698634/|https://github.com/pyanno4rt/pyanno4rt|tim.ortkamp@kit.edu|https://raw.githubusercontent.com/pyanno4rt/pyanno4rt/refs/heads/master/README.md|pyanno4rt is a Python package for conventional and outcome prediction model-based inverse photon and proton treatment plan optimization, including radiobiological and machine learning (ML) models for tumor control probability (TCP) and normal tissue complication probability (NTCP).|NA||Yes|https://raw.githubusercontent.com/pyanno4rt/pyanno4rt/develop/logo/logo_white.png
PortPy|2023|Library/Toolkit|Treatment Planning and dosimetry|Photons|Apache 2.0|Python, Jupyter notebooks|Memorial Sloan Kettering Cancer Center|none|https://aapm.confex.com/aapm/2023am/meetingapp.cgi/Paper/4208|https://github.com/PortPy-Project/PortPy|zarepism@mskcc.org|https://raw.githubusercontent.com/PortPy-Project/PortPy/refs/heads/master/README.md|PortPy, short for Planning and Optimization for Radiation Therapy, is an initiative aimed at creating an open-source Python library for cancer radiotherapy treatment planning optimization.|NA||Yes|https://github.com/PortPy-Project/PortPy/raw/master/images/PortPy_logo.png
PyRadiomics|2017|Library/Toolkit|Imaging and Image Processing|Multiple purpose|BSD-3-Clause|Python, Jupyter notebooks|Department of Radiation Oncology, Dana-Farber Cancer Institute, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts|https://www.radiomics.io/pyradiomics.html|https://doi.org/10.1158/0008-5472.CAN-17-0339|https://github.com/AIM-Harvard/pyradiomics|pyradiomics@googlegroups.com|https://raw.githubusercontent.com/AIM-Harvard/pyradiomics/refs/heads/master/README.md|PyRadiomics is an open-source python package for the extraction of Radiomics features from medical imaging|NA||Yes|https://radiomics.github.io/img/logo-white-2.png
Pylinac|2014|Library/Toolkit|Imaging and Image Processing|Photons|MIT|Python|RadFormation|https://pylinac.readthedocs.io|https://doi.org/10.21105/joss.06001|https://github.com/jrkerns/pylinac|jkerns@radformation.com|https://raw.githubusercontent.com/jrkerns/pylinac/refs/heads/master/README.rst|Pylinac provides TG-142 quality assurance (QA) tools to Python programmers in the field of therapy and diagnostic medical physics.|NA||Yes|https://storage.googleapis.com/pylinac_demo_files/Pylinac-GREEN.png
PyMedPhys|2018|Library/Toolkit|Quality Assurance|Multiple purpose|Apache 2.0|Python|Contributors from several institutions (University New South Wales, ELEKTA, RadFormation, Royal Delaide Hospital, Antropic PBC)|https://pymedphys.com/|https://doi.org/10.21105/joss.04555|https://github.com/pymedphys/pymedphys|support@pymedphys.com|https://raw.githubusercontent.com/pymedphys/pymedphys/refs/heads/main/README.rst|PyMedPhys is an open-source Medical Physics Python library built by an open community that values code sharing, review, improvement, and learning from each other.|NA||Yes|https://github.com/pymedphys/pymedphys/raw/ca501275227f190a77e641a75af925d9070952b6/lib/pymedphys/docs/_static/pymedphys_title.svg
SlicerRT|2012|Script/Plugin|Imaging and Image Processing|Multiple purpose|BSD-3-Clause|C++|The SlicerRT Community and the Percutaneous Surgery Laboratory, Queen's University|https://slicerrt.github.io/|https://doi.org/10.1118/1.4754659|https://github.com/SlicerRt/SlicerRT|csaba.pinter@ebatinca.com|https://raw.githubusercontent.com/SlicerRt/SlicerRT/refs/heads/master/README.md|SlicerRT is an extension of 3D Slicer, a free, open source software for visualization and image analysis.|NA||Yes|https://avatars.githubusercontent.com/u/1325988?s=200&v=4
