Name of the Software|Last Release|code type_not_definitive|Keywords [Max 3]|Field [Photon,Proton, Brachy, Multi]|License|Programming Language|Institution(s)|Website|related publication|GitHub/GitLab/other|Contacts|Comments|DOI of the Software|Software Logo (yes/no)
TOPASopt|Jan 2 2025|Script/Plugin|Treatment Planning and dosimetry|Multiple purpose|MIT|Python (91,3%), PLSQL (7.5%), Other (1.2%)|The Image X Institute, University of Sydney|Not explicitly stated|https://doi.org/10.1002/mp.16126|https://github.com/Image-X-Institute/TopasOpt|Not explicitly stated|A toolkit for performing optimization with the TOPAS Monte Carlo simulation package. Includes tools for running simulations and analyzing results.|Not explicitly stated|No
TrajectoryLog.NET|Not stated|Library/Toolkit|Treatment Planning and dosimetry|Photons|Not cleary specified|C# (100.0%)|Washington University in St. Louis - Clinical Development|Not explicitly stated|Not explicitly stated|https://github.com/WUSTL-ClinicalDev/TrajectoryLog.NET|matthew.schmidt@wustl.edu.|A C# library for reading and parsing Varian Eclipse trajectory log files. Provides a clear and simple API for accessing log data.|Not explicitly stated|No
Bistromath|May 29 2024|Application|Treatment Planning and dosimetry|Photons|Freeware|Not explitely stated|Not explicitly stated|https://bistromath.kegge13.nl/|Not explicitly stated|Not explicitly stated|bistromath@kegge13.nl|BistroMath is designed as add-on to the measuring software of water phantom systems used in radiotherapy.|No|Yes
ctqa|Mar 16 2020|Library/Toolkit|Quality Assurance|Multiple purpose|MIT|Python (99.9%), Batchfile (0.1%)|Not explicitly stated (Brikwerk)|Not explicitly stated|Not explicitly stated|https://github.com/Brikwerk/ctqa|mail@reecewal.sh|A Python-based toolkit for CT Quality Assurance (QA). Provides tools for performing common QA tests and generating reports.|Not explicitly stated|Yes
DicomCleaner|Not specified|Application|Software Engeneering and Data Infrastructure|Multiple purpose|Open source, not specified|Java|David A. Clunie|http://www.dclunie.com/pixelmed/software/webstart/DicomCleanerUsage.html|Not explicitly stated|No|dclunie@dclunie.com|A Java application for cleaning and anonymizing DICOM files. Provided as a webstart application.|Not explicitly stated|Yes
DicomClient|May 18 2023|Application|Software Engeneering and Data Infrastructure|Multiple purpose|Apache-2.0|Java (98.4%), HTML (1.4%), Other (0.2%)|umich.edu|Not explicitly stated|Not explicitly stated|https://github.com/irrer/DICOMClient|irrer@umich.edu|A DICOM client application for sending and receiving DICOM files over a network. Designed for simple and easy DICOM communication.|Not explicitly stated|Yes
dicomutils|not stated|Application|Software Engeneering and Data Infrastructure|Multiple purpose|Not stated|Python (98.8%), Other (1.2%)|RaySearch Laboratories|https://github.com/raysearchlabs/dicomutils|Not explicitly stated|https://github.com/raysearchlabs/dicomutils|Not explicitly stated|A Python library providing various utilities for working with DICOM files. Aims to simplify common DICOM tasks.|Not explicitly stated|No
EasyPACS|not specified|Library/Toolkit|Software Engeneering and Data Infrastructure|Multiple purpose|Not specified|JavaScript (46.6%), CSS (28.7%), Java (17.4%), HTML (7,3%)|Not explicitly stated|http://mehmetsen80.github.io/EasyPACS/|Not explicitly stated|https://github.com/mehmetsen80/EasyPACS|Not explicitly stated|EasyPACS is the simpliest PACS server for your dicom files. It uses DCM4CHEE listener and converts dicom files into jpegs. It is the easiest way to store dicom files.|Not explicitly stated|No
Fabolous-v16|Jun 9 2025|Application|Software Engeneering and Data Infrastructure|Photons|Not explicitly stated|C# (100.0%)|Not explicitly stated|Not explicitly stated|Not explicitly stated|https://github.com/nsmela/Fabolus/tree/master|Not explicitly stated|Fabolus is a Windows-based app designed to assist radiation therapy prepare bolus meshes for 3D printing|Not explicitly stated|No
LinacQA|Aug 2025 last update on GitHub|Application|Quality Assurance|Photons|LinaQA copyright 2024-2025 AC Chamberlain. All rights reserved.|Python (100.0%)|Not explicitly stated (copyright by A C Chamberlain)|https://github.com/alanphys/LinaQA|Not explicitly stated|https://github.com/alanphys/LinaQA|Not explicitly stated|LinaQA (pronounced Linakwa) is a GUI frontend for pylinac and pydicom.|Not explicitly stated|No
MAAS-PlanScoreCard|Jun 19 2025|Script/Plugin|Treatment Planning and dosimetry|Photons|VARIAN LIMITED USE SOFTWARE LICENSE AGREEMENT|C# (100.0%)|Varian Medical Affairs Applied Solutions (MAAS)|https://github.com/Varian-MedicalAffairsAppliedSolutions/MAAS-PlanScoreCard|Not explicitly stated|https://github.com/Varian-MedicalAffairsAppliedSolutions/MAAS-PlanScoreCard|Not explicitly stated|A Varian Eclipse scripting plugin to generate a 'scorecard' for treatment plan quality. Assesses plan quality based on pre-defined metrics.|Not explicitly stated|No
MUSIMAN|Jun 22 2017|Script/Plugin|Treatment Planning and dosimetry|Multiple purpose|Not explicitly stated|Matlab (100%)|Not explicitly stated|Not explicitly stated|A. Badal and J. Sempau. A package of Linux scripts for the parallelization of Monte Carlo simulations. Comput. Phys. Commun., 175(6):440–450, 2006.|https://github.com/marcelinohermida/MUSIMAN|Not explicitly stated|In summary, the MUSIMAN package is a software tool to ease the parallelization of simulations run with the Monte Carlo code PENELOPE 2014|Not explicitly stated|No
OMG Dosimetry|Dec 27 2023|Library/Toolkit|Quality Assurance|Multiple purpose|MIT|Python (99.8%), Batchfile (0.2%)|Not explicitly stated|https://omg-dosimetry.readthedocs.io/en/latest/|Not explicitly stated|https://github.com/jfcabana/omg_dosimetry|Not explicitly stated|A Python package for performing dosimetry calculations and quality assurance tests. Provides a simple API for common dosimetry tasks.|Not explicitly stated|Yes
PDFtoAria|Last update 3 years ago|Script/Plugin|Software Engeneering and Data Infrastructure|Photons|MIT|C# (100.0 %)|Not explicitly stated (LDClark)|Not explicitly stated|Not explicitly stated|https://github.com/LDClark/PDFtoAria|Not explicitly stated|A C# script for converting PDF documents into a format that can be imported into Varian ARIA. Automates the process of adding documents to ARIA.|Not explicitly stated|No
PlanCheck|Oct 15 2020|Script/Plugin|Quality Assurance|Photons|MIT|C# (100.0 %)|Not explicitly stated (LDClark)|Not explicitly stated|Not explicitly stated|https://github.com/LDClark/PlanCheck|Not explicitly stated|A Varian Eclipse scripting plugin for treatment plan verification. Automates the process of checking a plan against a set of rules.|Not explicitly stated|No
PyBeam-QA|Last tag Jun 9 2024|Application|Quality Assurance|Photons|GPL-3.0|Python (99.9%), Other (0.1%)|Not explicitly stated (Quantico-Bullet)|Not explicitly stated|Not explicitly stated|https://github.com/Quantico-Bullet/PyBeam-QA|Not explicitly stated|A Python library for performing beam quality assurance tests in radiotherapy. The software is in an early stage of development.|Not explicitly stated|Yes
pyQAserver|Nov 3 2020|Application|Quality Assurance|Photons|MIT|Python (56.3%), Smarty (36%), JavaScript (7.6%), Other (0.1%)|Not explicitly stated|https://pyqaserver.readthedocs.io/en/latest/|Not explicitly stated|https://github.com/brjdenis/pyqaserver|Not explicitly stated|A Python-based server for performing Quality Assurance tests. Provides a web interface for managing and running tests.|Not explicitly stated|No
QALMA|Last commit 4 years ago|Application|Quality Assurance|Photons|GPL-3.0|Matlab (100%)|Not explicitly stated (mrmushfiq)|https://github.com/mrmushfiq/qalma|https://doi.org/10.1016/j.softx.2018.03.003|https://github.com/mrmushfiq/qalma|Not explicitly stated|A Matlab based toolkit with GUI for quantitative analysis of Quality Assurance tests for Medical Linear Accelerators in Radiation Therapy.|Not explicitly stated|No
QATrack+|Aug 2025|Application|Quality Assurance|Photons|MIT|JavaScript (42.1%), Python (40.7%), HTML (10.1%), CSS (6.9%), Shell (0.1%), SCSS (0.1%)|Not explicitly stated|https://qatrackplus.com/|Not explicitly stated|https://github.com/qatrackplus/qatrackplus|randy@randlet.com|QATrack+ is a fully configurable, free, and open source (MIT License) web application for managing QA data for radiation therapy and medical imaging equipment|Not explicitly stated|Yes
Sentinel|Mar 21 2025|Application|Quality Assurance|Photons|Apache-2.0|HTML (100.0%)|IsoAnalytica, LLC|Not explicitly stated|Not explicitly stated|https://github.com/IsoAnalytica/Sentinel-Public|info@efilmqa.com|Sentinel is an automated log-file analysis application for Varian linacs (TrueBeam, Halcyon, Edge).|Not explicitly stated|Yes
SIRF|Jul 25 2024|Application|Imaging and Image Processing|Multiple purpose|Apache-2.0|C++ (59.5%), Python (19.3%), Matlab (14.4%), CMake (4.4%), C (1.5%), Shell (0.9%)|SyneRBI, University College London|https://www.ccpsynerbi.ac.uk/|Not explicitly stated|https://github.com/SyneRBI/SIRF|tomography@stfc.ac.uk|This software is the main output of SyneRBI, the Collaborative Computational Platform for Synergistic Reconstruction for Biomedical Imaging (formerly CCP PETMR).|Not explicitly stated|Yes
STIR|Jun 23 2024|Application|Imaging and Image Processing|Multiple purpose|Apache-2.0|C++ (63.5%), Verilog (30.1%), C(2.0%), Shell (1.5%), CMake (0.9%), Python (0.9%), Other (1.1%)|Not explicitly stated (hosted under UCL organization)|http://stir.sourceforge.net/|Not explicitly stated|https://github.com/UCL/STIR|stir@asc.uk.com|A software package for tomographic image reconstruction. Primarily used for PET and SPECT. Has been in development since 1994.|Not explicitly stated|Yes
VarianESAPI-EQD2Converter|Jan 1 2022|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT|C# (100%)|Not explicitly stated (brjdenis)|Not explicitly stated|Not explicitly stated|https://github.com/brjdenis/VarianESAPI-EQD2Converter|Not explicitly stated|A Varian Eclipse scripting plugin for converting dose to EQD2 (equivalent dose in 2 Gy fractions). Automates the calculation of EQD2 for plans.|Not explicitly stated|No
VarianESAPI-FieldEditor|Jan 28 2022|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT|C# (100%)|Not explicitly stated (brjdenis)|Not explicitly stated|Not explicitly stated|https://github.com/brjdenis/VarianESAPI-FieldEditor|Not explicitly stated|A Varian Eclipse scripting plugin for editing treatment fields. Provides a graphical interface for modifying field shapes and parameters.|Not explicitly stated|No
VarianESAPI-HalcyonGantryAngle|Nov 12 2021|Script/Plugin|Treatment Planning and dosimetry|Photons|MIT|C# (100%)|Not explicitly stated (brjdenis)|Not explicitly stated|Not explicitly stated|https://github.com/brjdenis/VarianESAPI-HalcyonGantryAngle|Not explicitly stated|A Varian Eclipse scripting plugin for Halcyon gantry angle calculation. Automates the calculation of gantry angles for Halcyon plans.|Not explicitly stated|No
dicom4che|Jun 24 2025|Library/Toolkit|Software Engeneering and Data Infrastructure|Multiple purpose|Mozilla Public License 2.0|Java (74.7%), Smarty (16.9%), XSLT (4.6%), Shell (2.1%), Batchfile (1.7%), sed (0.0%)|Not explicitly stated|https://www.dcm4che.org/|Not explicitly stated|https://github.com/dcm4che|Not explicitly stated|dcm4che is a Java-based library and set of tools for working with DICOM files. It provides functionalities for reading, writing, and manipulating DICOM data, making it a valuable resource for developers and researchers working with medical imaging.|Not explicitly stated|Yes
PlanUNC|2016 (latest release)|Application|Software Engeneering and Data Infrastructure|Photons|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|Not explicitly stated|A program for performing dosimetry calculations in radiotherapy. The program is proprietary and not open source.|Not explicitly stated|No
UCoMX|Jun 16 2025|Application|Treatment Planning and dosimetry|Photons|Not explicitly stated|Matlab (100%)|Veneto Institute of Oncology IOV-IRCCS|https://zenodo.org/records/15673571|https://doi.org/10.1002/mp.17365|https://zenodo.org/records/15673571|ucomx@iov.veneto.it|UCoMX (Universal Complexity Metrics Extractor) is a novel software package designed to extract complexity metrics from DICOM-RT plan files of radiotherapy treatment plans. The tool is platform-agnostic, engineered to seamlessly operate with DICOM-RT plan files created using diverse commercially available TPSs across various treatment units.|10.5281/zenodo.8276837|Yes
MatRad|2015|Application|Treatment Planning and dosimetry|Multiple purpose|GPL v3|Matlab|Division of Medical Physics in Radiation Oncology at the German Cancer Research Center DKFZ|http://www.matrad.org|https://doi.org/10.1002/mp.12251|https://github.com/e0404/matRad|contact@matrad.org|||
MIROpt|2016|Script/Plugin|Treatment Planning and dosimetry|Protons/Ions|Apache 2.0|Matlab|MIRO (UCLouvain), IBA|none|none|https://openreggui.org/git/open/REGGUI|ana.barragan@uclouvain.be|plug-in at openREGGUI||
OpenTPS|2021|Application|Treatment Planning and dosimetry|Multiple purpose|Apache 2.0|Python|MIRO and Pilab labs (UCLouvain), IBA|https://opentps.org|https://arxiv.org/abs/2303.00365|https://gitlab.com/openmcsquare/opentps|info@opentps.org|||
OpenREGGUI|2011|Application|Treatment Planning and dosimetry|Protons/Ions|Apache 2.0|Matlab|UCLouvain, IBA|https://openreggui.org/|none|https://openreggui.org/git/open/REGGUI|open.reggui@gmail.com|||
FoCa|2014|Application|Treatment Planning and dosimetry|Protons/Ions|?|Matlab|University of Pennsylvania, Department of Radiation Oncology|http://nuclear.fis.ucm.es/foca/#:~:text=FoCa%20is%20an%20in%2Dhouse,suite%20for%20inverse%20treatment%20planning.|https://doi.org/10.1088/0031-9155/59/23/7341|none|dsparcerisa@ucm.es|||
pyanno4RT|2023|Library/Toolkit|Treatment Planning and dosimetry|Multiple purpose|GPL-3.0|Python|Karlsruhe Institute of Technology|https://pyanno4rt.readthedocs.io/|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10698634/|https://github.com/pyanno4rt|tim.ortkamp@kit.edu|||
PortPy|2023|Library/Toolkit|Treatment Planning and dosimetry|Photons|Apache 2.0|Python, Jupyter notebooks|Memorial Sloan Kettering Cancer Center|none|https://aapm.confex.com/aapm/2023am/meetingapp.cgi/Paper/4208|https://github.com/PortPy-Project|zarepism@mskcc.org|||
PyRadiomics|2017|Library/Toolkit|Imaging and Image Processing|Multiple purpose|BSD-3-Clause|Python, Jupyter notebooks|Department of Radiation Oncology, Dana-Farber Cancer Institute, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts|https://www.radiomics.io/pyradiomics.html|https://doi.org/10.1158/0008-5472.CAN-17-0339|https://github.com/AIM-Harvard/pyradiomics|pyradiomics@googlegroups.com|||
Pylinac|2014|Library/Toolkit|Imaging and Image Processing|Photons|MIT|Python|RadFormation|https://pylinac.readthedocs.io|https://doi.org/10.21105/joss.06001|https://github.com/jrkerns/pylinac|jkerns@radformation.com|||
PyMedPhys|2018|Library/Toolkit|Quality Assurance|Multiple purpose|Apache 2.0|Python|Contributors from several institutions (University New South Wales, ELEKTA, RadFormation, Royal Delaide Hospital, Antropic PBC)|https://pymedphys.com/|https://doi.org/10.21105/joss.04555|https://github.com/pymedphys/pymedphys|support@pymedphys.com|||
SlicerRT|2012|Script/Plugin|Imaging and Image Processing|Multiple purpose|BSD-style|C++|The SlicerRT Community and the Percutaneous Surgery Laboratory, Queen's University|https://slicerrt.github.io/|https://doi.org/10.1118/1.4754659|https://github.com/SlicerRt/SlicerRT|csaba.pinter@ebatinca.com|||
CERR|2003|Application|Treatment Planning and dosimetry|Photons|LGPL-2.1|Matlab|Memorial Sloan Kettering Cancer Center|https://cerr.github.io/CERR/|https://doi.org/10.1118/1.1568978|https://github.com/cerr|deasyj@mskcc.org|||
pyCERR|2023|Application|Treatment Planning and dosimetry|Photons|GPL-3.0|Python|Memorial Sloan Kettering Cancer Center|https://cerr.github.io/CERR/|ICCR 2024 proceedings|https://github.com/cerr/pyCERR||||
MCsquare|2016|Application|Treatment Planning and dosimetry|Protons/Ions|Apache 2.0|C|MIRO (UCLouvain), IBA|http://www.openmcsquare.org/|https://doi.org/10.1118/1.4943377|https://gitlab.com/openmcsquare/MCsquare|kevin.souris@gmail.com|||
TOPAS|2012|Application|Treatment Planning and dosimetry|Multiple purpose|own (https://www.topasmc.org/license)|C++|TOPAS MC Inc (non-profit)
originally: SLAC National Accelerator Laboratory, Massachusetts General Hospital and the University of California at San Francisco.|https://www.topasmc.org/home|https://doi.org/10.1118/1.4758060|https://github.com/OpenTOPAS/OpenTOPAS|perl@topasmc.org|based on Geant4,
access to resources and forum through a registration form https://www.topasmc.org/registration||
GATE|2014|Application|Treatment Planning and dosimetry|Multiple purpose|LGPL-3.0 license|C++| OpenGATE collaboration - 25 institutions - Creatis (Lyon) and LPC (Laboratoire de Physique de Clairmont) University Clermont Auvergne|http://www.opengatecollaboration.org/|https://doi.org/10.1088/0031-9155/49/19/007|https://github.com/OpenGATE/Gate|Lydia.MAIGNE@uca.fr, David.Sarrut@creatis.insa-lyon.fr|||
OpenGATE|2024|Application|Treatment Planning and dosimetry|Multiple purpose|LGPL-3.0 license|Python| OpenGATE collaboration - 25 institutions - Creatis (Lyon) and LPC (Laboratoire de Physique de Clairmont) University Clermont Auvergne|http://www.opengatecollaboration.org/|ICCR 2024 proceedings|https://github.com/OpenGATE/opengate||||
PENELOPE|1996|Application|Treatment Planning and dosimetry|Photons|?|FORTRAN|Universitat de Barcelona|none|https://www.osti.gov/etdeweb/biblio/378659|||||
GEANT4|2025|Application|Treatment Planning and dosimetry|Multiple purpose||C++|CERN|https://geant4.org/|https://doi.org/10.1016/S0168-9002(03)01368-8|https://github.com/Geant4||||yes
FLUKA|2025|Application|Treatment Planning and dosimetry|Multiple purpose||FORTRAN|CERN|http://www.fluka.org/
https://fluka.cern/|https://www.slac.stanford.edu/pubs/slacreports/reports16/slac-r-773.pdf|none||||yes
3DSlicer|2025|Application|Imaging and Image Processing|Multiple purpose||C++||https://coin-or.github.io/Ipopt/||https://github.com/Slicer||||yes
IPOPT|2002|Library/Toolkit|Software Engeneering and Data Infrastructure|||C++||https://coin-or.github.io/Ipopt/|https://doi.org/10.1007/s10107-004-0559-y|https://github.com/coin-or/Ipopt|info@coin-or.org|||no
MONAI|2025|Library/Toolkit|Artificial Intelligence|Multiple purpose|Apache-2.0 license|Python||https://docs.monai.io/en/stable/||https://github.com/Project-MONAI/MONAI?tab=readme-ov-file||||yes
RTEMIS|2025|Application|Artificial Intelligence|Protons/Ions||||https://rtemis.org||||||yes
AMIGOpy|2025|Application|Treatment Planning and dosimetry|Brachytherapy||Python|Maastro, University of Maastricht|https://www.amigo-medphys.com/||https://github.com/PhysicsResearch/AMIGOpy|gabriel.paivafonseca@maastro.nl|Welcome to AMIGOpy (A Medical Image-based Graphical platfOrm - Python)! This is an evolution of the previously developed MATLAB-based software AMIGOBrachy. While AMIGOBrachy was a user interface tailored specifically for absorbed dose calculations in brachytherapy coupled with MCNP6 MC code, AMIGOpy extends this functionality and brings a plethora of new features, with a Python backbone and VTK for image rendering.||No
